Date,Open,High,Low,Close,Adj Close,Volume
08-04-2010,180,180,173.600006,175.350006,172.249191,506225
09-04-2010,176,180.800003,175,178.800003,175.638199,961023
12-04-2010,179.5,180.399994,175.800003,176.350006,173.231522,395574
13-04-2010,176,176.300003,171.149994,171.600006,168.565506,727426
15-04-2010,172.100006,174.449997,169.550003,170.25,167.23938,634461
16-04-2010,169.800003,171.100006,167.100006,168.699997,165.716797,552264
19-04-2010,166.899994,167.75,164.5,166.5,163.55571,574498
20-04-2010,168,170.699997,166.449997,167.550003,164.587128,513947
21-04-2010,168.800003,169,167.050003,167.350006,164.390671,274814
22-04-2010,166,170.699997,166,169.300003,166.306183,601660
23-04-2010,169.5,171.100006,166.5,167.199997,164.243301,718237
26-04-2010,168.100006,170.75,168.100006,168.649994,165.667679,379059
27-04-2010,167,169.399994,167,168.350006,165.372986,551116
28-04-2010,166,170.350006,165.050003,165.550003,162.622482,1346084
29-04-2010,166.5,167.699997,165,165.449997,162.524261,301723
30-04-2010,166,168.5,163.050003,163.649994,160.756088,798608
03-05-2010,163,166.449997,161.25,164.050003,161.149033,435837
04-05-2010,165,165.5,161.25,161.850006,158.987946,669042
05-05-2010,161,161,156.5,160.149994,157.317978,508072
06-05-2010,160.899994,160.899994,156.399994,157.050003,154.272797,631482
07-05-2010,154.699997,155.899994,149.300003,152.850006,150.147079,986117
10-05-2010,155,156.600006,150.100006,154.699997,151.964371,1116851
11-05-2010,155,156,146.25,147.050003,144.449631,2368295
12-05-2010,147.25,149.149994,142.550003,147.100006,144.498764,1971591
13-05-2010,147,150.300003,145.699997,146.550003,143.958496,1155062
14-05-2010,146.5,148.199997,143.300003,144.5,141.944733,600669
17-05-2010,142,143.199997,140.050003,141.600006,139.096024,788506
18-05-2010,143.399994,146.100006,141.649994,145,142.435913,817810
19-05-2010,144.949997,144.949997,136,136.800003,134.380905,934968
20-05-2010,140,144.699997,135.100006,135.800003,133.398575,1420936
21-05-2010,134.25,135,131.800003,133.399994,131.041016,977397
24-05-2010,139.350006,150.75,136.949997,147.899994,145.284607,4923543
25-05-2010,146.350006,147,137.699997,138.550003,136.09996,2516827
26-05-2010,140,141.850006,134.100006,135,132.612732,1082198
27-05-2010,135,140.25,133.5,139.199997,136.738464,1810728
28-05-2010,141.199997,148,139.5,147.449997,144.84256,2386817
31-05-2010,146.699997,148,144,144.850006,142.288559,1012361
01-06-2010,144,145.100006,138.350006,139.25,136.787567,1056645
02-06-2010,141.699997,155.800003,140.949997,154.600006,151.86615,10821484
